region,village,polling_station_id,許願神,張美慧,傅崐萁,周玉梅,effective_vote,invalid_vote,total_vote,pickup_no_vote_count,pickup_vote_count,remaing_vote_count,total_voter_count,voting_rat_perct
　花蓮市,總共,0.0,2864,20800,24615,322,48601,1375,49976,4,49980,21530,71510,69.89
　花蓮市,民德里,1.0,29,208,225,6,468,20,488,0,488,171,659,74.05
　花蓮市,民德里,2.0,27,225,217,3,472,15,487,0,487,179,666,73.12
　花蓮市,民勤里,3.0,33,242,300,5,580,25,605,1,606,222,828,73.07
　花蓮市,民勤里,4.0,27,197,276,2,502,16,518,0,518,230,748,69.25
　花蓮市,民勤里,5.0,34,267,318,8,627,25,652,0,652,223,875,74.51
　花蓮市,民意里,6.0,7,58,122,2,189,3,192,0,192,110,302,63.58
　花蓮市,民意里,7.0,25,153,290,2,470,18,488,0,488,211,699,69.81
　花蓮市,民意里,8.0,14,68,272,4,358,9,367,0,367,165,532,68.98
　花蓮市,民心里,9.0,38,216,271,2,527,19,546,0,546,267,813,67.16
　花蓮市,民享里,10.0,39,187,309,2,537,19,556,0,556,259,815,68.22
　花蓮市,民享里,11.0,22,223,299,7,551,14,565,0,565,253,818,69.07
　花蓮市,民享里,12.0,46,222,320,4,592,15,607,0,607,234,841,72.18
　花蓮市,民孝里,13.0,40,263,314,4,621,9,630,0,630,270,900,70.0
　花蓮市,民孝里,14.0,29,186,342,3,560,10,570,0,570,253,823,69.26
　花蓮市,民孝里,15.0,26,226,387,5,644,16,660,0,660,254,914,72.21
　花蓮市,民運里,16.0,27,302,310,2,641,21,662,0,662,293,955,69.32
　花蓮市,民運里,17.0,25,204,279,4,512,14,526,0,526,232,758,69.39
　花蓮市,民政里,18.0,34,225,270,1,530,21,551,0,551,234,785,70.19
　花蓮市,民政里,19.0,37,205,312,8,562,12,574,0,574,213,787,72.94
　花蓮市,民政里,20.0,26,219,264,6,515,26,541,0,541,230,771,70.17
　花蓮市,民政里,21.0,30,237,314,4,585,17,602,1,603,212,815,73.87
　花蓮市,民立里,22.0,33,209,265,2,509,19,528,0,528,203,731,72.23
　花蓮市,民立里,23.0,20,152,184,2,358,9,367,0,367,267,634,57.89
　花蓮市,民樂里,24.0,18,146,170,1,335,10,345,0,345,140,485,71.13
　花蓮市,民有里,25.0,16,154,175,3,348,12,360,0,360,151,511,70.45
